ID,Amt Requested,Amt Funded,Length,Monthly Pmt,Pmts to Date,State,Income,Open LoC,Total LoC,Employ,Purpose,FICO,Home,Utilization,Rate,D/I,Standing,Balance,Delinquent,Months
41,1000,1000,36 months,34.33,1249.97,CO,1250,14,27,< 1,Educational Expenses,660-680,Rent,96.00%,14.30%,15.04%,Paid,6553,0,34
42,7500,7500,36 months,238.15,713.67,NY,6916.67,18,44,10+,Home Improvement,716-750,Mortgage,60.40%,8.90%,21.41%,Currently paying,68197,0,41
43,19425,19425,36 months,607.82,607.57,CA,3333.33,9,16,10+,Consolidate Debt,716-750,Rent,61.70%,7.90%,20.70%,Currently paying,24303,0,
44,15250,15250,36 months,530.94,16841.5,AZ,13333.33,19,47,3,small_business,716-750,Mortgage,17.90%,15.31%,13.47%,Paid,6563,0,49
45,3600,3600,36 months,109.51,656.7,NH,4166.67,15,47,5,Home Improvement,751-780,Mortgage,0.90%,5.99%,9.50%,Currently paying,521,0,
46,31025,31025,60 months,857.94,4286.85,FL,6666.67,6,12,3,Consolidate Debt,716-750,Mortgage,99.30%,22.06%,20.01%,Currently paying,32262,0,
47,9000,9000,60 months,235.26,1874.64,FL,2916.67,5,13,2,Consolidate Debt,681-715,Rent,92.30%,19.36%,6.17%,Extremely late/charged off/default,6275,1,16
48,10000,10000,36 months,308.73,2467.84,NJ,5666.67,19,34,< 1,Credit Card,716-750,Rent,7.60%,6.99%,22.52%,Currently paying,2793,0,
49,10500,10500,60 months,268.87,11133.96,OH,6666.67,4,21,1,Medical Expenses,681-715,Mortgage,38.40%,18.39%,2.96%,Paid,2805,0,
50,10000,10000,36 months,311.11,2170.63,GA,5083.33,10,33,4,Consolidate Debt,716-750,Mortgage,52.80%,7.51%,16.80%,Extremely late/charged off/default,71252,0,
51,12000,12000,60 months,279.16,1949.36,CT,4166.67,8,17,3,Consolidate Debt,716-750,Rent,33.10%,13.99%,12.98%,Currently paying,2316,0,
52,15000,15000,36 months,469.36,2345.85,SC,3120,7,28,5,Consolidate Debt,716-750,Rent,46.40%,7.90%,11.79%,Currently paying,4365,0,24
53,4000,4000,36 months,134.18,267.44,CO,2083.33,5,13,2,Consolidate Debt,681-715,Rent,79.70%,12.69%,6.86%,Currently paying,8546,0,
54,15000,15000,60 months,396.66,1585.64,VA,5083.33,11,31,2,Credit Card,681-715,Mortgage,95.20%,19.91%,18.12%,Currently paying,33026,0,57
55,24000,24000,60 months,589.39,10582.02,NY,5583.33,8,12,4,Consolidate Debt,681-715,Rent,70.40%,16.45%,7.86%,Currently paying,18866,0,
56,7000,7000,36 months,217.78,434.38,FL,2583.33,8,13,10+,Credit Card,716-750,Rent,44.10%,7.51%,26.86%,Currently paying,5033,0,
57,3000,3000,36 months,100.7,2309.89,WY,5666.67,8,24,9,Other,681-715,Mortgage,92.20%,12.73%,19.22%,Currently paying,6359,0,
58,11000,11000,36 months,342.78,0,CA,2700,21,42,n/a,Consolidate Debt,751-780,Mortgage,13.60%,7.62%,9.81%,No payment due,9185,0,
59,10000,9241.75,60 months,247.56,5177.55,NJ,3333,2,5,3,Major Appliance Purchase,681-715,Rent,73.30%,16.82%,5.79%,Currently paying,5717,0,
60,12000,12000,36 months,365.23,0,MA,7500,8,22,10+,Consolidate Debt,751-780,Mortgage,59.90%,6.03%,3.49%,No payment due,15363,0,
61,12000,12000,36 months,385.14,13698.1,TX,8416.67,17,39,6,Consolidate Debt,751-780,Mortgage,25.00%,9.63%,15.15%,Paid,19326,0,
62,5000,5000,36 months,163.68,5719.15,Tex,3200,7,14,3,Consolidate Debt,681-715,Rent,9.00%,10.99%,19.88%,Paid,387,0,26
63,22750,22060.63,60 months,496.01,8908.92,MO,3583.33,6,19,10+,Consolidate Debt,751-780,Rent,14.80%,11.12%,22.69%,Currently paying,3810,0,
64,5500,5500,36 months,197.63,4333.12,Tex,1200,3,4,< 1,Other,660-680,Rent,91.00%,17.56%,7.33%,Currently paying,1547,0,
65,30000,18550,60 months,494.57,987.64,FL,6250,11,15,8,Consolidate Debt,681-715,Rent,71.40%,20.30%,18.77%,Currently paying,16788,0,
66,6500,6500,60 months,142.92,7083.23,WISC,6250,11,30,10+,Consolidate Debt,716-750,Mortgage,48.10%,11.49%,13.68%,Paid,22699,0,
67,10750,10750,36 months,334.43,7327.1,NJ,6000,18,49,2,Other,751-780,Mortgage,59.10%,7.51%,17.55%,Currently paying,25126,0,
68,5650,5650,36 months,184.28,0,NC,2358.33,8,31,7,Consolidate Debt,681-715,Own,8.00%,10.74%,3.56%,No payment due,1058,0,
69,25000,25000,60 months,603.32,7826.52,CO,5416.67,5,7,10+,Consolidate Debt,751-780,Own,72.80%,15.65%,18.06%,Currently paying,64770,0,
70,12000,12000,36 months,386.7,772.34,NY,5000,12,20,10+,Consolidate Debt,681-715,Rent,72.50%,9.91%,9.52%,Currently paying,16783,0,
71,3400,3400,36 months,104.86,1047.3,NV,3333.33,5,14,< 1,Credit Card,751-780,Rent,0.30%,6.92%,7.29%,Currently paying,53,0,
72,5000,5000,36 months,170.84,5895.3,NJ,5000,8,14,4,Other,681-715,Rent,93.60%,13.98%,19.54%,Paid,9873,0,
73,6000,6000,36 months,192.93,0,CA,2500,5,9,2,Consolidate Debt,681-715,Rent,46.40%,9.76%,8.44%,No payment due,2647,0,
74,17000,17000,36 months,556.48,4994.37,Ill,6500,8,28,5,Credit Card,681-715,Rent,26.10%,10.99%,9.72%,Currently paying,9171,0,58
75,12500,6997.84,36 months,411.97,14853.93,FL,6900,10,23,< 1,small_business,681-715,Mortgage,62.50%,11.46%,14.16%,Paid,41893,0,
76,1200,1200,36 months,37.22,370.7,CA,830,5,12,4,Consolidate Debt,716-750,Rent,65.80%,7.29%,23.01%,Currently paying,1711,0,63
77,8500,8500,60 months,182.2,3266.64,Ill,6000,6,12,9,Wedding,781+,Mortgage,0.80%,10.38%,0.33%,Currently paying,334,0,
78,12800,12800,36 months,416.94,1665.4,TX,4333.33,13,24,5,Consolidate Debt,716-750,Mortgage,50.10%,10.65%,9.62%,Currently paying,13672,0,
79,4350,1329.09,36 months,143.53,5158.23,CA,1833.33,10,10,6,Consolidate Debt,681-715,Rent,25.50%,11.54%,24.71%,Paid,5967,0,0
80,14000,14000,36 months,489.58,2930.76,MI,6666.67,7,22,10+,Consolidate Debt,681-715,Mortgage,92.40%,15.62%,17.29%,Currently paying,30772,1,10
81,30000,30000,60 months,785.17,2352.93,NY,12500,14,21,< 1,Consolidate Debt,681-715,Own,78.50%,19.42%,14.11%,Currently paying,49132,0,28
82,25000,17050,60 months,403.75,2014.9,WA,9000,13,39,< 1,Consolidate Debt,716-750,Mortgage,34.20%,14.79%,20.62%,Currently paying,10572,0,
83,8000,8000,36 months,290.23,0,CT,5833.33,7,18,n/a,Other,681-715,Rent,99.90%,18.25%,13.15%,No payment due,8489,0,48
84,1375,1375,36 months,45.09,0,OH,2000,2,8,5,Consolidate Debt,716-750,Mortgage,91.30%,11.11%,2.10%,Extremely late/charged off/default,1369,1,7
85,35000,23950,60 months,520.62,3639.02,CA,4059.37,7,16,10+,small_business,751-780,Mortgage,36.50%,10.99%,6.08%,Currently paying,55549,0,
86,10000,10000,36 months,304.36,1216.88,MI,4166.67,11,23,n/a,Consolidate Debt,781+,Own,10.80%,6.03%,13.18%,Currently paying,7054,0,
87,1200,1200,36 months,37.88,225.54,PA,3583.33,4,21,10+,Other,716-750,Rent,69.10%,8.49%,3.85%,Currently paying,4491,0,
88,7000,7000,36 months,214.93,0,TX,5000,10,35,8,Wedding,716-750,Mortgage,41.50%,6.62%,5.58%,No payment due,12671,0,
89,25200,25200,60 months,612.28,1825.98,KY,5700,3,20,10+,Home Improvement,781+,Mortgage,0.30%,15.96%,0.02%,Currently paying,33,0,
90,4750,4750,36 months,158.25,5609.64,MI,3767,26,49,< 1,Wedding,716-750,Mortgage,33.70%,12.21%,20.95%,Paid,26272,0,
91,5000,5000,60 months,123.44,5488.54,MI,3500,5,15,5,Major Appliance Purchase,681-715,Rent,98.70%,16.69%,15.63%,Paid,10365,0,
92,2000,2000,36 months,62.59,124.92,FL,6666.67,11,23,2,Major Appliance Purchase,716-750,Rent,56.50%,7.90%,11.12%,Currently paying,14982,0,48
93,6800,1091.27,36 months,224.53,8082.89,MD,3433,14,25,10+,Consolidate Debt,681-715,Rent,53.70%,11.59%,11.91%,Paid,6170,0,31
94,4575,4575,36 months,160.07,4791.3,CO,2083,3,10,1,Consolidate Debt,681-715,Own,99.10%,15.65%,23.62%,Currently paying,9912,0,
95,8000,8000,36 months,268.36,1071.28,IL,13333.33,14,32,7,Other,681-715,Rent,86.20%,12.69%,10.03%,Currently paying,7841,0,49
96,3000,3000,36 months,100.86,3528.35,NJ,8333,11,28,< 1,Consolidate Debt,681-715,Mortgage,60.00%,12.84%,18.58%,Currently paying,71161,0,
97,5000,5000,60 months,115.34,1836.48,FL,2400,6,10,1,Wedding,681-715,Mortgage,45.50%,13.61%,8.33%,Currently paying,3187,0,50
98,6000,6000,36 months,196.41,1760.4,OH,13333.33,3,8,n/a,Consolidate Debt,681-715,Mortgage,12.42%,10.99%,5.43%,Currently paying,745,1,8
99,9250,9250,36 months,298.09,594.98,CA,3250,6,15,7,Major Appliance Purchase,681-715,Rent,73.10%,9.91%,10.09%,Currently paying,18786,0,
100,2000,2000,36 months,62.21,371.52,PA,5000,6,7,3,Home Improvement,716-750,Mortgage,73.40%,7.49%,9.40%,Currently paying,10785,0,
101,5600,5600,60 months,140.72,1537.47,KY,2583.33,9,12,2,Credit Card,660-680,Mortgage,60.50%,17.51%,6.50%,Currently paying,6472,0,49
102,6000,6000,60 months,145.88,868.62,NY,6916.67,6,8,5,Car Loan,681-715,Rent,77.60%,15.99%,10.57%,Currently paying,4345,0,
103,10000,10000,36 months,327.96,5547.44,FL,12291.67,22,41,10+,Consolidate Debt,716-750,Mortgage,55.40%,11.12%,9.92%,Currently paying,41320,1,2
104,8100,8100,36 months,252,4772.61,MD,10333.33,13,42,10+,Major Appliance Purchase,716-750,Mortgage,25.20%,7.51%,5.61%,Currently paying,7422,0,
105,4000,4000,36 months,123.07,4181.73,CA,2166.67,7,10,< 1,Major Appliance Purchase,781+,Rent,0.20%,6.76%,10.62%,Paid,30,0,
106,15000,15000,36 months,518.44,4139.68,PA,3750,4,17,n/a,Home Improvement,681-715,Own,0.00%,14.79%,19.97%,Currently paying,0,0,32
107,4000,4000,36 months,130.24,3150.09,MN,1000,13,14,n/a,Other,681-715,Rent,21.10%,10.62%,14.10%,Currently paying,3361,0,
108,14000,14000,36 months,429.86,859.02,VA,5500,7,46,10+,Consolidate Debt,751-780,Rent,35.40%,6.62%,11.15%,Currently paying,12095,0,
109,10000,10000,36 months,339.31,2704.16,CA,5583.33,7,14,5,Other,681-715,Rent,97.40%,13.49%,11.34%,Currently paying,8592,0,
110,3800,3800,36 months,123.28,1231.8,CA,5000,7,9,3,Household Expenses,681-715,Rent,33.50%,10.37%,10.52%,Currently paying,725,0,52
111,4000,4000,36 months,127.02,632.5,CA,2333.33,5,10,< 1,Consolidate Debt,681-715,Rent,63.90%,8.90%,20.10%,Currently paying,5432,0,
112,25000,19050,60 months,501.43,3493.28,WY,3125.54,7,14,9,Consolidate Debt,681-715,Rent,64.20%,19.69%,14.56%,Currently paying,14703,0,
113,11200,11200,36 months,370.46,739.1,NY,4000,19,30,5,Other,681-715,Rent,31.70%,11.71%,8.68%,Currently paying,10323,0,39
114,20000,20000,60 months,478.64,0,NC,4166.67,13,23,10+,Consolidate Debt,716-750,Own,70.30%,15.27%,12.58%,No payment due,13146,0,
115,21000,21000,36 months,754.79,0,MA,6000,11,21,2,Consolidate Debt,660-680,Mortgage,80.70%,17.58%,11.63%,Currently paying,19116,2,12
116,4000,4000,36 months,135.46,2159.36,LA,2916.67,14,19,10+,Consolidate Debt,660-680,Rent,59.60%,13.35%,14.26%,Currently paying,10129,0,
117,5000,5000,60 months,107.13,1705.76,FL,3146,3,6,3,Consolidate Debt,751-780,Rent,57.20%,10.36%,1.72%,Currently paying,1831,0,
118,24000,24000,36 months,762.08,0,KY,9166.67,14,23,3,Credit Card,716-750,Mortgage,35.40%,8.90%,17.48%,No payment due,31995,0,
119,3400,3400,36 months,107.32,639.12,FL,6333.33,10,32,4,Consolidate Debt,716-750,Rent,54.30%,8.49%,20.65%,Currently paying,1956,0,
120,12375,12375,36 months,383.75,4208.93,CA,3500,14,28,8,Consolidate Debt,716-750,Rent,53.30%,7.29%,28.29%,Currently paying,12829,0,
121,8000,8000,60 months,191.17,2661.96,NY,5000,4,16,2,Credit Card,681-715,Rent,52.40%,15.20%,16.14%,Currently paying,1888,0,31
122,6200,6200,36 months,229.86,5269.76,FL,1600,5,9,1,small_business,660-680,Rent,0.00%,19.82%,0.00%,Extremely late/charged off/default,0,0,
123,10000,10000,36 months,330.76,660.22,CT,5000,11,32,5,Consolidate Debt,716-750,Mortgage,87.20%,11.71%,17.30%,Currently paying,11512,0,
124,21000,21000,60 months,568.01,3960.53,FL,8166.67,14,26,10+,Credit Card,660-680,Rent,83.40%,20.99%,17.63%,Currently paying,34456,0,
125,9000,9000,36 months,277.86,2220.88,WISC,6250,14,42,4,Consolidate Debt,751-780,Mortgage,3.80%,6.99%,7.65%,Currently paying,1597,0,68
126,1800,1800,36 months,56.82,337.92,MA,2083.33,7,9,4,Consolidate Debt,681-715,Mortgage,68.70%,8.49%,9.12%,Currently paying,3297,0,
127,7200,7200,60 months,166.79,1653.9,TX,2166.67,6,6,1,Major Appliance Purchase,681-715,Rent,42.10%,13.80%,16.62%,Currently paying,2694,0,
128,18500,18500,36 months,622.22,18653.1,CA,12083.33,6,23,3,Consolidate Debt,681-715,Rent,53.30%,12.87%,1.62%,Currently paying,25063,0,41
129,4800,4800,36 months,161.71,1129.03,GA,2416.67,4,10,10+,Consolidate Debt,681-715,Rent,96.90%,12.99%,12.91%,Currently paying,9978,0,
130,7550,7550,60 months,190,188.71,CA,2200,4,14,5,small_business,681-715,Rent,33.90%,17.58%,24.32%,No payment due,4751,2,7
131,12000,12000,36 months,399.26,0,TX,6500,10,32,< 1,Consolidate Debt,681-715,Rent,65.40%,12.12%,9.72%,No payment due,18915,0,
132,12000,12000,36 months,393.5,3915.3,CA,3500,10,16,< 1,Credit Card,681-715,Rent,88.90%,11.11%,8.34%,Currently paying,11048,0,
133,10000,7826.59,36 months,335.6,12078.5,VT,3342,16,38,10+,Other,681-715,Any,2.10%,12.72%,22.53%,Paid,408,2,7
134,24000,24000,60 months,635.72,0,FL,4425,23,41,2,Vacation,681-715,Mortgage,29.60%,19.99%,20.95%,No payment due,24318,0,
135,3000,822.97,36 months,95.42,3432.57,WA,833.33,2,7,10+,Consolidate Debt,681-715,Rent,51.10%,9.01%,6.72%,Paid,2808,1,20
136,15000,15000,36 months,469.22,7967.56,MN,5333.33,6,25,6,Home Improvement,781+,Mortgage,12.20%,7.88%,1.52%,Currently paying,5167,0,
137,3250,3250,36 months,112.22,2014.56,MN,1500,7,30,1,Consolidate Debt,660-680,Rent,76.50%,14.72%,21.67%,Currently paying,10561,1,17
138,3600,3600,36 months,117.85,937.04,FL,2500,8,8,2,Car Loan,716-750,Rent,5.90%,10.99%,1.68%,Currently paying,661,0,
139,10000,10000,36 months,320.95,11263.38,NJ,6250,21,34,< 1,Consolidate Debt,716-750,Rent,17.70%,9.63%,13.79%,Paid,21027,0,
140,25450,25450,60 months,592.05,3549.54,NC,4416.67,13,32,3,Credit Card,716-750,Rent,63.40%,13.99%,26.38%,Currently paying,31828,0,
141,12000,12000,36 months,372.55,13030.85,FL,4167,14,31,< 1,Wedding,716-750,Mortgage,33.70%,7.37%,10.10%,Currently paying,56348,0,
142,7700,7700,36 months,257.3,514.1,MN,2500,8,12,2,Consolidate Debt,681-715,Rent,93.20%,12.42%,13.96%,Currently paying,12116,0,
143,10000,1450,36 months,329,11836.33,NY,2383.33,2,6,3,Other,681-715,Rent,54.10%,11.34%,5.37%,Paid,3245,0,44
144,15000,15000,60 months,324.27,5832.18,NY,5761,12,28,10+,Moving,781+,Rent,11.10%,10.75%,17.55%,Currently paying,2691,0,
145,3850,3850,36 months,116.12,925.52,AL,4583.33,19,41,10+,Home Improvement,751-780,Mortgage,12.90%,5.42%,23.54%,Currently paying,2600,0,
146,5000,5000,36 months,156.41,3279.36,CT,4000,8,19,8,Home Improvement,781+,Mortgage,2.40%,7.88%,0.40%,Currently paying,526,0,
147,28000,28000,36 months,889.09,3553.28,NY,10000,6,24,6,Consolidate Debt,716-750,Mortgage,78.50%,8.90%,4.95%,Currently paying,34525,0,
148,8500,8500,36 months,257.78,3084.96,NV,5516.67,9,17,5,Consolidate Debt,751-780,Rent,22.10%,5.79%,7.54%,Currently paying,4413,0,
149,12000,12000,36 months,433.77,0,NY,8166.67,8,34,8,Consolidate Debt,660-680,Rent,65.50%,17.99%,9.82%,No payment due,15195,2,17
150,6600,6600,60 months,143.87,1715.04,CA,3200,3,12,7,Wedding,716-750,Rent,15.90%,11.11%,3.59%,Currently paying,3666,0,
151,15000,15000,36 months,469.36,1407.18,NY,7500,15,31,< 1,Consolidate Debt,716-750,Rent,57.70%,7.90%,18.23%,Currently paying,35204,0,
152,12000,12000,36 months,396.92,792.12,MA,3166.67,21,29,7,Consolidate Debt,681-715,Rent,7.40%,11.71%,4.67%,Currently paying,917,0,24
153,8000,8000,60 months,176.79,8211.36,CA,9466,2,11,10+,Wedding,781+,Mortgage,17.20%,11.71%,0.96%,Paid,3036,0,
154,4200,4200,60 months,103.87,1237.8,NY,2083.33,3,3,5,Major Appliance Purchase,681-715,Own,72.10%,16.77%,2.21%,Currently paying,2380,0,
155,25000,17950,60 months,408.24,5685.68,CA,11666.67,6,17,10+,Moving,781+,Mortgage,0.20%,12.98%,4.26%,Currently paying,78,0,
156,5400,5400,36 months,164.26,5427.37,NY,10084,10,29,< 1,Consolidate Debt,781+,Mortgage,2.10%,5.99%,7.00%,Paid,466,0,
157,13000,9950,60 months,206.07,1025.75,Ill,3333.33,11,33,10+,Consolidate Debt,716-750,Mortgage,21.60%,8.90%,24.06%,Currently paying,13054,0,47
158,10000,10000,36 months,353.01,705.36,NY,4280,8,9,4,Credit Card,660-680,Rent,79.10%,16.29%,16.61%,Currently paying,8495,0,
159,6000,6000,60 months,148.38,1476.6,NY,4500,11,24,6,Major Appliance Purchase,660-680,Rent,55.50%,16.77%,5.80%,Currently paying,5995,1,13
160,6500,6500,36 months,227.41,1830.01,NY,3541.67,6,8,4,Medical Expenses,660-680,Rent,90.70%,15.65%,13.16%,Extremely late/charged off/default,1542,0,
161,6000,6000,60 months,146.94,2786.16,CA,5875,12,22,10+,Other,660-680,Rent,72.40%,16.32%,12.15%,Currently paying,15135,0,29
162,4000,4000,36 months,130.94,912.87,VA,4400,7,20,5,Car Loan,681-715,Mortgage,48.70%,10.99%,15.43%,Currently paying,6286,0,61
163,8325,8325,36 months,257.02,1797.74,OR,8864.08,9,22,2,Home Improvement,751-780,Mortgage,39.60%,6.99%,15.07%,Currently paying,27301,0,
164,6000,6000,36 months,190.63,6756.62,CT,5000,11,21,6,Consolidate Debt,716-750,Rent,29.00%,8.94%,23.18%,Paid,22323,0,
165,5000,5000,36 months,189.31,1320.06,WA,2916.67,2,5,n/a,Home Improvement,660-680,Mortgage,,21.36%,21.91%,Currently paying,0,0,
166,14125,14125,60 months,369.69,1104.27,PA,4218.33,13,47,2,Credit Card,660-680,Rent,75.10%,19.42%,22.78%,Currently paying,11282,0,
167,3200,3200,36 months,111.37,1113.6,FL,1583,3,5,3,Other,681-715,Rent,84.10%,15.28%,3.79%,Currently paying,1851,0,
168,4800,4800,36 months,156.36,468.45,MO,2166.67,9,19,1,Credit Card,681-715,Rent,70.10%,10.65%,11.82%,Currently paying,7149,0,
169,7500,7500,36 months,255.32,3570.56,CA,9166.67,11,25,8,Consolidate Debt,660-680,Mortgage,22.10%,13.72%,8.39%,Currently paying,3600,1,14
170,9000,9000,36 months,303.21,1815.72,CA,4750,9,22,6,Consolidate Debt,681-715,Mortgage,56.80%,12.99%,15.71%,Currently paying,10455,0,66
171,15000,15000,60 months,374.97,1492.92,KS,4166.67,8,8,5,Consolidate Debt,681-715,Rent,59.60%,17.27%,15.84%,Currently paying,12449,0,
172,15000,15000,36 months,503.11,6026.52,VA,6300,5,15,7,Home Improvement,716-750,Mortgage,78.50%,12.68%,11.71%,Currently paying,10596,0,
173,3000,3000,36 months,96.81,964.3,MA,3208.33,6,9,< 1,Consolidate Debt,681-715,Rent,73.40%,10.00%,11.31%,Currently paying,3259,0,
174,21750,15800,60 months,408.04,2034.25,TX,3916.67,4,12,2,small_business,716-750,Mortgage,96.30%,18.79%,17.00%,Currently paying,19736,0,
175,25000,15350,36 months,502.47,10047.44,Tex,10000,11,21,10+,Consolidate Debt,716-750,Mortgage,50.70%,10.99%,8.60%,No payment due,13385,0,68
176,17500,8950,60 months,223.74,445.4,CA,3333.33,5,6,6,small_business,681-715,Rent,58.90%,17.27%,19.47%,Currently paying,10724,0,
177,20000,20000,36 months,620.2,6199.7,OR,2875,6,17,7,Consolidate Debt,751-780,Own,46.70%,7.29%,10.61%,Currently paying,19046,0,
178,29175,29175,36 months,1006.37,1005.79,LA,5833.33,12,40,6,Consolidate Debt,716-750,Rent,73.50%,14.65%,22.63%,Currently paying,38783,0,
